Name,Suggested Price,Min Price,Max Price,Currency,Item Page                     
AUG | Contractor (Battle-Scarred),0.03,0.02,1.5,EUR,https://skinport.com/item/aug-contractor-battle-scarred
AUG | Contractor (Field-Tested),0.03,0.02,1.5,EUR,https://skinport.com/item/aug-contractor-field-tested
AUG | Contractor (Minimal Wear),0.03,0.02,1,EUR,https://skinport.com/item/aug-contractor-minimal-wear
AUG | Contractor (Well-Worn),0.03,0.02,1.5,EUR,https://skinport.com/item/aug-contractor-well-worn
AUG | Storm (Battle-Scarred),0.03,0.02,1.52,EUR,https://skinport.com/item/aug-storm-battle-scarred
AUG | Storm (Field-Tested),0.03,0.02,2,EUR,https://skinport.com/item/aug-storm-field-tested
AUG | Storm (Well-Worn),0.03,0.02,1.5,EUR,https://skinport.com/item/aug-storm-well-worn
AUG | Sweeper (Battle-Scarred),0.03,0.02,1.5,EUR,https://skinport.com/item/aug-sweeper-battle-scarred
AUG | Sweeper (Field-Tested),0.03,0.02,1.5,EUR,https://skinport.com/item/aug-sweeper-field-tested
Dual Berettas | Colony (Battle-Scarred),0.03,0.02,1.71,EUR,https://skinport.com/item/dual-berettas-colony-battle-scarred
Dual Berettas | Colony (Field-Tested),0.03,0.02,3,EUR,https://skinport.com/item/dual-berettas-colony-field-tested
Dual Berettas | Colony (Well-Worn),0.03,0.03,1.36,EUR,https://skinport.com/item/dual-berettas-colony-well-worn
Dual Berettas | Contractor (Battle-Scarred),0.03,0.02,1.71,EUR,https://skinport.com/item/dual-berettas-contractor-battle-scarred
Dual Berettas | Contractor (Field-Tested),0.03,0.02,1.5,EUR,https://skinport.com/item/dual-berettas-contractor-field-tested
Dual Berettas | Contractor (Minimal Wear),0.03,0.02,1.53,EUR,https://skinport.com/item/dual-berettas-contractor-minimal-wear
Dual Berettas | Contractor (Well-Worn),0.03,0.02,1.5,EUR,https://skinport.com/item/dual-berettas-contractor-well-worn
FAMAS | Colony (Battle-Scarred),0.03,0.02,2,EUR,https://skinport.com/item/famas-colony-battle-scarred
FAMAS | Colony (Field-Tested),0.03,0.02,1.5,EUR,https://skinport.com/item/famas-colony-field-tested
FAMAS | Colony (Minimal Wear),0.03,0.02,0.9,EUR,https://skinport.com/item/famas-colony-minimal-wear
FAMAS | Colony (Well-Worn),0.03,0.02,0.99,EUR,https://skinport.com/item/famas-colony-well-worn
Five-SeveN | Coolant (Battle-Scarred),0.03,0.02,2.69,EUR,https://skinport.com/item/five-seven-coolant-battle-scarred
Five-SeveN | Coolant (Field-Tested),0.03,0.02,9.88,EUR,https://skinport.com/item/five-seven-coolant-field-tested
Five-SeveN | Coolant (Well-Worn),0.03,0.02,0.17,EUR,https://skinport.com/item/five-seven-coolant-well-worn
Five-SeveN | Forest Night (Battle-Scarred),0.03,0.03,2,EUR,https://skinport.com/item/five-seven-forest-night-battle-scarred
Five-SeveN | Forest Night (Field-Tested),0.03,0.02,3.35,EUR,https://skinport.com/item/five-seven-forest-night-field-tested
Five-SeveN | Forest Night (Well-Worn),0.03,0.02,1,EUR,https://skinport.com/item/five-seven-forest-night-well-worn
G3SG1 | Desert Storm (Battle-Scarred),0.03,0.02,1.5,EUR,https://skinport.com/item/g3sg1-desert-storm-battle-scarred
G3SG1 | Desert Storm (Field-Tested),0.03,0.02,1.5,EUR,https://skinport.com/item/g3sg1-desert-storm-field-tested
G3SG1 | Desert Storm (Well-Worn),0.03,0.02,1.36,EUR,https://skinport.com/item/g3sg1-desert-storm-well-worn
G3SG1 | Jungle Dashed (Battle-Scarred),0.03,0.02,15.26,EUR,https://skinport.com/item/g3sg1-jungle-dashed-battle-scarred
G3SG1 | Jungle Dashed (Field-Tested),0.03,0.02,1.36,EUR,https://skinport.com/item/g3sg1-jungle-dashed-field-tested
G3SG1 | Jungle Dashed (Minimal Wear),0.03,0.02,0.22,EUR,https://skinport.com/item/g3sg1-jungle-dashed-minimal-wear
G3SG1 | Jungle Dashed (Well-Worn),0.03,0.02,1.5,EUR,https://skinport.com/item/g3sg1-jungle-dashed-well-worn
G3SG1 | Polar Camo (Battle-Scarred),0.03,0.02,0.52,EUR,https://skinport.com/item/g3sg1-polar-camo-battle-scarred
G3SG1 | Polar Camo (Field-Tested),0.03,0.02,1.79,EUR,https://skinport.com/item/g3sg1-polar-camo-field-tested
G3SG1 | Polar Camo (Well-Worn),0.03,0.03,1.5,EUR,https://skinport.com/item/g3sg1-polar-camo-well-worn
Galil AR | Sage Spray (Battle-Scarred),0.03,0.02,1.29,EUR,https://skinport.com/item/galil-ar-sage-spray-battle-scarred
Galil AR | Sage Spray (Field-Tested),0.03,0.02,10.99,EUR,https://skinport.com/item/galil-ar-sage-spray-field-tested
Galil AR | Sage Spray (Well-Worn),0.03,0.02,0.49,EUR,https://skinport.com/item/galil-ar-sage-spray-well-worn
MAG-7 | Rust Coat (Field-Tested),0.03,0.02,1.36,EUR,https://skinport.com/item/mag-7-rust-coat-field-tested
MAG-7 | Rust Coat (Well-Worn),0.03,0.02,1.5,EUR,https://skinport.com/item/mag-7-rust-coat-well-worn
MP5-SD | Dirt Drop (Battle-Scarred),0.03,0.02,2.19,EUR,https://skinport.com/item/mp5-sd-dirt-drop-battle-scarred
MP5-SD | Dirt Drop (Field-Tested),0.03,0.02,1.71,EUR,https://skinport.com/item/mp5-sd-dirt-drop-field-tested
MP5-SD | Dirt Drop (Well-Worn),0.03,0.02,0.99,EUR,https://skinport.com/item/mp5-sd-dirt-drop-well-worn
MP7 | Army Recon (Battle-Scarred),0.03,0.02,2,EUR,https://skinport.com/item/mp7-army-recon-battle-scarred
MP7 | Army Recon (Field-Tested),0.03,0.02,2.05,EUR,https://skinport.com/item/mp7-army-recon-field-tested
MP7 | Army Recon (Minimal Wear),0.03,0.02,1.53,EUR,https://skinport.com/item/mp7-army-recon-minimal-wear
MP7 | Army Recon (Well-Worn),0.03,0.02,0.24,EUR,https://skinport.com/item/mp7-army-recon-well-worn
MP7 | Forest DDPAT (Battle-Scarred),0.03,0.02,1.48,EUR,https://skinport.com/item/mp7-forest-ddpat-battle-scarred
MP7 | Forest DDPAT (Field-Tested),0.03,0.02,1.52,EUR,https://skinport.com/item/mp7-forest-ddpat-field-tested
MP7 | Forest DDPAT (Well-Worn),0.03,0.03,0.9,EUR,https://skinport.com/item/mp7-forest-ddpat-well-worn
MP9 | Sand Dashed (Battle-Scarred),0.03,0.02,2,EUR,https://skinport.com/item/mp9-sand-dashed-battle-scarred
MP9 | Sand Dashed (Field-Tested),0.03,0.02,1.5,EUR,https://skinport.com/item/mp9-sand-dashed-field-tested
MP9 | Sand Dashed (Well-Worn),0.03,0.02,2,EUR,https://skinport.com/item/mp9-sand-dashed-well-worn
MP9 | Slide (Battle-Scarred),0.03,0.02,1.36,EUR,https://skinport.com/item/mp9-slide-battle-scarred
MP9 | Slide (Field-Tested),0.03,0.02,13.62,EUR,https://skinport.com/item/mp9-slide-field-tested
MP9 | Slide (Well-Worn),0.03,0.02,0.87,EUR,https://skinport.com/item/mp9-slide-well-worn
Negev | Army Sheen (Field-Tested),0.03,0.02,1.62,EUR,https://skinport.com/item/negev-army-sheen-field-tested
Nova | Mandrel (Battle-Scarred),0.03,0.02,0.05,EUR,https://skinport.com/item/nova-mandrel-battle-scarred
Nova | Mandrel (Field-Tested),0.03,0.02,1.5,EUR,https://skinport.com/item/nova-mandrel-field-tested
Nova | Mandrel (Well-Worn),0.03,0.02,1.36,EUR,https://skinport.com/item/nova-mandrel-well-worn
Nova | Polar Mesh (Battle-Scarred),0.03,0.02,1.52,EUR,https://skinport.com/item/nova-polar-mesh-battle-scarred
Nova | Polar Mesh (Field-Tested),0.03,0.02,10,EUR,https://skinport.com/item/nova-polar-mesh-field-tested
Nova | Polar Mesh (Well-Worn),0.03,0.02,1.5,EUR,https://skinport.com/item/nova-polar-mesh-well-worn
Nova | Predator (Battle-Scarred),0.03,0.02,1.36,EUR,https://skinport.com/item/nova-predator-battle-scarred
Nova | Predator (Field-Tested),0.03,0.02,1.5,EUR,https://skinport.com/item/nova-predator-field-tested
Nova | Predator (Well-Worn),0.03,0.02,0.18,EUR,https://skinport.com/item/nova-predator-well-worn
Nova | Sand Dune (Battle-Scarred),0.03,0.02,2,EUR,https://skinport.com/item/nova-sand-dune-battle-scarred
Nova | Sand Dune (Field-Tested),0.03,0.02,2.99,EUR,https://skinport.com/item/nova-sand-dune-field-tested
Nova | Sand Dune (Minimal Wear),0.03,0.02,1.5,EUR,https://skinport.com/item/nova-sand-dune-minimal-wear
Nova | Sand Dune (Well-Worn),0.03,0.02,15.26,EUR,https://skinport.com/item/nova-sand-dune-well-worn
P250 | Boreal Forest (Battle-Scarred),0.03,0.02,2.28,EUR,https://skinport.com/item/p250-boreal-forest-battle-scarred
P250 | Boreal Forest (Field-Tested),0.03,0.02,2,EUR,https://skinport.com/item/p250-boreal-forest-field-tested
P250 | Boreal Forest (Minimal Wear),0.03,0.02,11800.5,EUR,https://skinport.com/item/p250-boreal-forest-minimal-wear
P250 | Boreal Forest (Well-Worn),0.03,0.02,1.79,EUR,https://skinport.com/item/p250-boreal-forest-well-worn
